timestamp,model,purpose,input_tokens,output_tokens,total_tokens,cache_read_tokens,cache_write_tokens,latency_ms,fallback_triggered,cost_usd
2026-05-21T13:02:23.641288+00:00,openai/gpt-5-nano,api_generate,261,556,817,0,0,10957,False,0.0
2026-05-21T13:02:48.184398+00:00,openai/gpt-5-nano,api_generate,258,1316,1574,0,0,22468,False,0.0
2026-05-21T13:03:10.628969+00:00,openai/gpt-5-nano,api_generate,273,1877,2150,0,0,18289,False,0.0
2026-05-21T13:03:37.730454+00:00,openai/gpt-5-nano,api_generate,261,1661,1922,0,0,25665,False,0.0
2026-05-21T13:04:01.985147+00:00,openai/gpt-5-nano,api_generate,269,2099,2368,0,0,22591,False,0.0
2026-05-21T13:04:25.451680+00:00,openai/gpt-5-nano,api_generate,274,2243,2517,0,0,22139,False,0.0
2026-05-21T13:04:46.524744+00:00,openai/gpt-5-nano,api_generate,249,1503,1752,0,0,19461,False,0.0
2026-05-21T13:05:15.399878+00:00,openai/gpt-5-nano,api_generate,268,1941,2209,0,0,27601,False,0.0
2026-05-21T13:05:30.986551+00:00,openai/gpt-5-nano,api_generate,263,794,1057,0,0,14004,False,0.0
2026-05-21T13:05:35.403954+00:00,openai/gpt-5-nano,api_generate,267,248,515,0,0,3020,False,0.0
2026-05-21T13:14:47.700814+00:00,openai/gpt-5-nano,api_generate,246,1622,1868,0,0,22576,False,0.0
2026-05-21T13:15:10.800733+00:00,openai/gpt-5-nano,api_generate,247,1717,1964,0,0,23095,False,0.0
2026-05-21T13:15:32.606461+00:00,openai/gpt-5-nano,api_generate,248,1536,1784,0,0,21802,False,0.0
2026-05-21T13:15:51.999884+00:00,openai/gpt-5-nano,api_generate,246,1804,2050,0,0,19389,False,0.0
2026-05-21T13:16:10.171143+00:00,openai/gpt-5-nano,api_generate,245,1303,1548,0,0,18167,False,0.0
2026-05-21T13:16:34.006518+00:00,openai/gpt-5-nano,api_generate,246,1498,1744,0,0,23830,False,0.0
2026-05-21T13:16:51.109432+00:00,openai/gpt-5-nano,api_generate,247,1608,1855,0,0,17098,False,0.0
2026-05-21T13:17:08.601002+00:00,openai/gpt-5-nano,api_generate,248,1627,1875,0,0,17487,False,0.0
2026-05-21T13:17:27.276415+00:00,openai/gpt-5-nano,api_generate,246,1776,2022,0,0,18672,False,0.0
2026-05-21T13:17:52.225753+00:00,openai/gpt-5-nano,api_generate,245,1871,2116,0,0,24944,False,0.0
2026-05-21T13:21:02.923849+00:00,openai/gpt-5-nano,api_generate,261,443,704,0,0,6950,False,0.00019025
2026-05-21T13:21:26.093234+00:00,openai/gpt-5-nano,api_generate,258,1345,1603,0,0,21548,False,0.0005509000000000001
2026-05-21T13:21:55.170957+00:00,openai/gpt-5-nano,api_generate,273,2321,2594,0,0,25701,False,0.0009420500000000002
2026-05-21T13:22:23.128120+00:00,openai/gpt-5-nano,api_generate,261,2446,2707,0,0,26115,False,0.0009914499999999998
2026-05-21T13:23:11.112348+00:00,openai/gpt-5-nano,api_generate,269,2822,3091,0,0,43797,False,0.0011422499999999998
2026-05-21T13:23:36.965005+00:00,openai/gpt-5-nano,api_generate,274,2311,2585,0,0,24318,False,0.0009381000000000001
2026-05-21T13:23:54.686432+00:00,openai/gpt-5-nano,api_generate,249,1236,1485,0,0,16137,False,0.00050685
2026-05-21T13:24:19.750428+00:00,openai/gpt-5-nano,api_generate,268,1799,2067,0,0,23250,False,0.000733
2026-05-21T13:24:31.960457+00:00,openai/gpt-5-nano,api_generate,263,636,899,0,0,10869,False,0.00026755
2026-05-21T13:24:37.802697+00:00,openai/gpt-5-nano,api_generate,267,228,495,0,0,4556,False,0.00010455000000000001
